team,season,games,avg_pregame_elo,actual_points,expected_points,eva_total,eva_per_game,eva_plus_total,eva_plus_per_game,expected_wins,actual_wins,playoff_games,playoff_eva_total,playoff_eva_per_game,reg_eva_plus_per_game
Anaheim Ducks,1994,84.0,1396.437625121375,76.0,75.55786649228081,0.44213350771918436,0.0052634941395140996,6.8007436305358695,0.0809612336968556,31.942080727517716,33.0,0.0,0.0,,0.0809612336968556
Anaheim Ducks,1995,48.0,1433.1175735352815,37.0,46.59744899014275,-9.597448990142748,-0.19994685396130726,-5.550385611132219,-0.11563303356525456,20.098665558560292,16.0,0.0,0.0,,-0.11563303356525456
Anaheim Ducks,1996,82.0,1451.7065069457149,80.0,82.54562690537333,-2.5456269053733207,-0.03104423055333318,3.958843388024634,0.04827857790273944,35.96637899854177,35.0,0.0,0.0,,0.04827857790273944
Anaheim Ducks,1997,93.0,1484.368231386922,96.0,99.90515694637976,-3.905156946379776,-0.04199093490730942,3.393388470621691,0.03648804807120098,44.275437116416406,40.0,11.0,0.01975278274783976,0.0017957075225308872,0.041141898632607955
Anaheim Ducks,1998,82.0,1472.9768569872624,69.0,86.13382599635186,-17.133825996351874,-0.20894909751648627,-10.224561582706235,-0.12468977539885652,37.96249357782176,26.0,0.0,0.0,,-0.12468977539885652
Anaheim Ducks,1999,86.0,1479.5883268635782,86.0,90.67174205684432,-4.671742056844334,-0.05432258205632946,2.368498394947238,0.027540679011014393,40.0035041586789,35.0,4.0,-3.2620536744433672,-0.8155134186108418,0.06866526913890984
Anaheim Ducks,2000,82.0,1492.86285064203,83.0,89.44529236265876,-6.445292362658762,-0.07860112637388735,-1.072133610987164,-0.013074800133989805,39.81096504176403,34.0,0.0,0.0,,-0.013074800133989805
Anaheim Ducks,2001,82.0,1462.8878911007146,66.0,84.74786742883124,-18.74786742883125,-0.22863252961989328,-13.930909302844759,-0.16988913783957024,37.20535896577535,25.0,0.0,0.0,,-0.16988913783957024
Anaheim Ducks,2002,82.0,1448.3079279412684,69.0,80.81852589626077,-11.818525896260791,-0.14412836458854622,-6.649717194462681,-0.08109411212759368,35.00514049288891,29.0,0.0,0.0,,-0.08109411212759368
Anaheim Ducks,2003,103.0,1489.6579291579676,125.0,107.38381344402141,17.616186555978572,0.17103093743668518,22.604055666752586,0.21945685113352026,47.23271562153464,55.0,21.0,10.814966351099018,0.5149983976713818,0.14376938189821434
Anaheim Ducks,2004,82.0,1495.782649578535,76.0,90.34451797569032,-14.344517975690318,-0.17493314604500387,-9.936137552351385,-0.12117240917501688,40.273130951112236,29.0,0.0,0.0,,-0.12117240917501688
Anaheim Ducks,2006,98.0,1503.1288870467793,117.0,106.7674917916705,10.232508208329522,0.10441334906458696,10.3462656165448,0.10557413894433469,47.499872696324566,52.0,16.0,1.5398252805383583,0.0962390800336474,0.10739561385373711
Anaheim Ducks,2007,103.0,1555.226553001014,143.0,124.93798608053122,18.062013919468793,0.1753593584414446,18.29944246225374,0.17766448992479358,57.12169710663725,64.0,21.0,9.691174683879886,0.4614845087561851,0.10497887534602257
Anaheim Ducks,2008,88.0,1542.344939715479,106.0,105.40199448722117,0.5980055127788297,0.00679551719066852,1.2102794202918483,0.013753175230589186,48.028288612887636,49.0,6.0,-2.626031998128898,-0.4376719996881497,0.046784285590496896
Anaheim Ducks,2009,95.0,1524.9691217786326,106.0,108.03715332384552,-2.037153323845498,-0.02144371919837366,-1.720291115178087,-0.01810832752819039,48.605141568639574,49.0,13.0,2.160800863788556,0.16621545106065813,-0.04733038998739809
Anaheim Ducks,2010,82.0,1509.577610301728,89.0,91.50074344243959,-2.500743442439589,-0.03049687124926328,-2.862929866330826,-0.034913778857693,40.95698538224716,39.0,0.0,0.0,,-0.034913778857693
Anaheim Ducks,2011,88.0,1509.5862743099378,104.0,98.2007454659213,5.799254534078711,0.06590061970543991,5.4147950032019025,0.06153176140002162,43.94441693820557,49.0,6.0,-1.6311153231083868,-0.2718525538513978,0.08592573568671086
Anaheim Ducks,2012,82.0,1492.2576003957006,80.0,88.52474034910686,-8.524740349106866,-0.10396024815983983,-9.0992452451415,-0.11096640542855488,39.261494113674146,34.0,0.0,0.0,,-0.11096640542855488
Anaheim Ducks,2013,55.0,1521.3933901888279,75.0,62.999980824022224,12.000019175977767,0.2181821668359594,11.963757518437447,0.21752286397158996,28.390435708641427,33.0,7.0,1.0027387368831893,0.14324839098331274,0.228354557949047
Anaheim Ducks,2014,95.0,1553.7191009478076,131.0,116.72838783301628,14.271612166983715,0.15022749649456543,13.362510808213068,0.14065800850750598,53.54158328399022,61.0,13.0,-0.845325049128212,-0.06502500377909323,0.17326629094318635
Anaheim Ducks,2015,98.0,1548.1141244809116,134.0,119.12681498533405,14.873185014665951,0.1517671940272036,14.188720313237022,0.14478286033915327,54.46239121601424,62.0,16.0,5.696687706535409,0.35604298165846304,0.1035613732524587
Anaheim Ducks,2016,89.0,1529.1890916749112,109.0,105.92316994657332,3.076830053426664,0.034571124195805214,3.5019897470734342,0.03934819940531949,48.18890436973085,49.0,7.0,-2.7661673328625205,-0.39516676183750293,0.07644093999921897
Anaheim Ducks,2017,99.0,1537.6400735666625,126.0,118.53560299366865,7.4643970063313745,0.07539794955890278,7.109660322764755,0.07181475073499753,54.00692548795799,56.0,17.0,0.4935413095442813,0.0290318417378989,0.08068437821000582
Anaheim Ducks,2018,86.0,1523.6402823592784,101.0,100.080997487457,0.9190025125429906,0.010686075727244077,1.2137941735629925,0.014113885739104564,45.292006813700496,44.0,4.0,-4.42806682596496,-1.10701670649124,0.06880318292107257
Anaheim Ducks,2019,82.0,1488.737891874844,80.0,88.73941998840041,-8.739419988400424,-0.1065782925414686,-7.893996350649357,-0.09626824817865069,39.401255334765544,35.0,0.0,0.0,,-0.09626824817865069
Anaheim Ducks,2020,71.0,1473.8827099486177,67.0,73.51896969069733,-6.518969690697336,-0.0918164745168639,-6.378879560753229,-0.0898433740951159,32.26072785776,29.0,0.0,0.0,,-0.0898433740951159
Anaheim Ducks,2021,56.0,1444.744962510034,43.0,53.54078391871259,-10.540783918712588,-0.18822828426272478,-10.522407673311406,-0.18790013702341796,22.946204289278853,17.0,0.0,0.0,,-0.18790013702341796
Anaheim Ducks,2022,82.0,1457.795502511982,76.0,81.78214349434309,-5.782143494343095,-0.07051394505296457,-5.15110672665465,-0.0628183747153006,35.526328003467505,31.0,0.0,0.0,,-0.0628183747153006
Anaheim Ducks,2023,82.0,1409.4762339145425,58.0,72.60522065614784,-14.605220656147836,-0.1781124470261931,-14.678188129502553,-0.17900229426222625,30.509708383474173,23.0,0.0,0.0,,-0.17900229426222625
Arizona Coyotes,1980,80.0,1369.182704996359,51.0,66.86464977988287,-15.86464977988287,-0.19830812224853586,-7.344243468203551,-0.09180304335254438,27.657601919858557,20.0,0.0,0.0,,-0.09180304335254438
Arizona Coyotes,1981,80.0,1360.9546094116442,32.0,64.13714544000783,-32.13714544000784,-0.40171431800009805,-23.335444115804435,-0.2916930514475554,26.173962380965456,9.0,0.0,0.0,,-0.2916930514475554
