season,date,playoff,neutral,status,ot,home_team,away_team,home_team_abbr,away_team_abbr,home_team_pregame_rating,away_team_pregame_rating,home_team_winprob,away_team_winprob,overtime_prob,home_team_expected_points,away_team_expected_points,home_team_score,away_team_score,home_team_postgame_rating,away_team_postgame_rating,game_quality_rating,game_importance_rating,game_overall_rating
2003,2003-04-19,1,0,post,,Edmonton Oilers,Dallas Stars,EDM,DAL,1506.80605153433,1578.85419167194,0.460420700951316,0.539579299048684,0.238835802313925,1.04971225670291,1.18912354561101,2,3,1504.61226528928,1581.04797791699,89,,
2003,2003-04-20,1,0,post,3OT,Washington Capitals,Tampa Bay Lightning,WSH,TBL,1499.27992114075,1489.38400029669,0.60610904264001,0.39389095735999,0.230491073815628,1.30300643500819,0.927484638807438,1,2,1496.24219837977,1492.42172305766,33,,
2003,2003-04-20,1,0,post,,St. Louis Blues,Vancouver Canucks,STL,VAN,1548.42173039217,1557.26420397982,0.573501623897065,0.426498376102935,0.23459681882931,1.24705841006375,0.987538408765565,3,4,1545.58111758194,1560.10481679005,95,,
2003,2003-04-21,1,0,post,2OT,Toronto Maple Leafs,Philadelphia Flyers,TOR,PHI,1535.78848364229,1556.49198578135,0.552507009840427,0.447492990159573,0.237221754886848,1.21116909210607,1.02605266278078,2,1,1537.91141435711,1554.36905506653,92,,
2003,2003-04-21,1,0,post,OT,Minnesota Wild,Colorado Avalanche,MIN,COL,1507.71664564996,1576.41079593825,0.46642180994067,0.53357819005933,0.239585206582544,1.06068106077464,1.1789041458079,3,2,1510.32289633238,1573.80454525583,88,,
2003,2003-04-22,1,0,post,,Philadelphia Flyers,Toronto Maple Leafs,PHI,TOR,1554.36905506653,1537.91141435711,0.617323016213997,0.382676983786003,0.229065298348867,1.32230404989018,0.906761248458687,6,1,1558.51946268257,1533.76100674107,92,,
2003,2003-04-22,1,0,post,,Vancouver Canucks,St. Louis Blues,VAN,STL,1560.10481679005,1545.58111758194,0.614030283606359,0.385969716393641,0.229484873193885,1.31663477863599,0.912850094557892,4,1,1563.53468657773,1542.15124779426,95,,
2003,2003-04-22,1,0,post,OT,Colorado Avalanche,Minnesota Wild,COL,MIN,1573.80454525583,1510.32289633238,0.693506933416251,0.306493066583749,0.219029612662747,1.45414492449016,0.764884688172589,2,3,1570.20678811425,1513.92065347395,88,,
2003,2003-04-24,1,0,post,,New Jersey Devils,Tampa Bay Lightning,NJD,TBL,1563.91133559571,1492.42172305766,0.705616392818566,0.294383607181434,0.217352478175792,1.47521779219235,0.742134685983447,3,0,1566.44273679711,1489.89032185627,75,,
2003,2003-04-24,1,0,post,5OT,Dallas Stars,Anaheim Ducks,DAL,ANA,1581.04797791699,1515.27466982876,0.697000699365272,0.302999300634728,0.21854871363883,1.46022150611773,0.758327207521102,3,4,1577.42665946631,1518.89598827943,92,,
