team,games,avg_pregame_elo,actual_points,expected_points,eva_total,eva_per_game,eva_plus_total,eva_plus_per_game,expected_wins,actual_wins,playoff_games,playoff_eva_total,playoff_eva_per_game,reg_eva_plus_per_game,seasons
Anaheim Ducks,2437.0,1493.8904713856284,2608.0,2651.1040312539444,-43.10403125394433,-0.0176873333007568,20.065855414456987,0.0082338348028137,1179.7202383780093,1133.0,162.0,15.860727511380194,0.09790572537889008,0.0018484078694843038,29
Arizona Coyotes,3526.0,1472.201045174834,3370.0,3649.045038427241,-279.04503842724046,-0.0791392621744868,-112.34468422529096,-0.0318617935976435,1602.8285637041881,1433.0,128.0,-12.541193554823506,-0.09797807464705864,-0.029371245047224093,43
Boston Bruins,7480.0,1527.4222453123675,8531.0,8808.031037150758,-277.0310371507585,-0.03703623491320301,268.2374645676542,0.03586062360530136,4001.9218983700994,3695.0,690.0,14.203426856531372,0.020584676603668656,0.037412965789561534,98
Buffalo Sabres,4365.0,1506.0774197454443,4672.0,4925.428233063801,-253.42823306380075,-0.05805915992297841,1.654156193570671,0.0003789590363277597,2214.348733390072,2003.0,256.0,5.575548477349986,0.02177948623964838,-0.0009543422447747152,52
Calgary Flames,4204.0,1507.8364823561296,4553.0,4769.339716088893,-216.33971608889243,-0.05146044626281932,18.185808439467344,0.004325834547922775,2145.9462421777453,1963.0,250.0,-20.07139747141433,-0.08028558988565732,0.009675570538917974,50
Carolina Hurricanes,3586.0,1482.7108042470031,3636.0,3816.67447635833,-180.67447635833014,-0.050383289558931996,-14.58716404726001,-0.004067809271405469,1688.9713801583011,1558.0,190.0,10.618539740829236,0.055887051267522296,-0.007422174260332518,43
Chicago Blackhawks,7272.0,1499.0431613806593,7401.0,8057.933703314575,-656.9337033145745,-0.09033741794754875,-125.39002585842067,-0.017242852840816923,3605.7305845441265,3134.0,548.0,30.346332349375032,0.055376518885720864,-0.02316126683637652,96
Colorado Avalanche,3724.0,1511.8792098056606,4063.0,4208.258402985306,-145.2584029853066,-0.03900601583923378,31.503605129811724,0.008459614696512279,1892.8186985874484,1789.0,326.0,37.241347584797886,0.11423726253005487,-0.0016885645835745,43
Columbus Blue Jackets,1773.0,1469.1727440617526,1725.0,1805.2676451554926,-80.26764515549252,-0.045272219489843495,-61.437963524888445,-0.03465198168352422,789.2586360271472,755.0,41.0,-3.1390236776064606,-0.0765615531123527,-0.03365989598572862,22
Dallas Stars,4727.0,1495.9851874558724,4984.0,5258.247451897876,-274.2474518978767,-0.05801723120327411,10.975502528969571,0.0023218748739093657,2354.9068298467846,2133.0,392.0,39.70249528968829,0.10128187573900073,-0.006626757268908587,55
Detroit Red Wings,7347.0,1509.8695706788496,7895.0,8392.923878913687,-497.92387891368674,-0.0677724076376326,39.016617363120474,0.005310550886500677,3785.9807412972787,3381.0,622.0,15.36875694313369,0.02470861244876799,0.003516410471373512,96
Edmonton Oilers,3700.0,1505.5397582712478,4003.0,4149.004084493539,-146.0040844935393,-0.03946056337663224,32.435622345650955,0.008766384417743502,1862.47940236988,1742.0,301.0,46.26254207975751,0.15369615308889537,-0.004067937550487365,43
Florida Panthers,2358.0,1481.648965816258,2445.0,2514.889194897514,-69.88919489751399,-0.02963918358673197,-6.354910794780309,-0.002695042745877994,1113.020400693649,1027.0,85.0,-0.8774300242349649,-0.010322706167470174,-0.002409802362756413,29
Los Angeles Kings,4604.0,1485.7851717385715,4594.0,4977.459056237993,-383.45905623799274,-0.08328823984317826,-107.98694027271966,-0.023455026123527293,2212.5695852613085,1961.0,268.0,4.31333032138748,0.016094516124580148,-0.025899508900854965,55
Minnesota Wild,1827.0,1505.1740838281298,2022.0,2025.5505847441777,-3.550584744177687,-0.0019433961380282908,16.002020968782908,0.008758632166821516,905.5195271037362,892.0,96.0,-17.8652170764124,-0.18609601121262917,0.01956512885337684,22
Montreal Canadiens,7719.0,1538.1974306709535,9123.0,9385.024359522897,-262.0243595228957,-0.03394537628227694,308.21390485221343,0.03992925312245284,4296.859810832576,3966.0,767.0,89.1168364819568,0.11618883504818357,0.03151568877592875,105
Montreal Maroons,668.0,1492.9342283975197,706.0,753.952473847482,-47.952473847482,-0.07178514049024251,-0.008645298925164191,-1.2942064259227831e-05,338.5663378524861,288.0,46.0,1.0629527207102112,0.02310766784152633,-0.0017228263981275938,14
Montreal Wanderers,6.0,1371.6479614598636,2.0,6.552822660024572,-4.552822660024572,-0.7588037766707619,-4.006839903340885,-0.6678066505568142,2.917736093951991,1.0,0.0,0.0,,-0.6678066505568142,1
Nashville Predators,2020.0,1503.1682991878288,2239.0,2229.5585803141976,9.441419685802607,0.004673970141486439,40.59952612037878,0.02009877530711821,995.8944632113995,993.0,125.0,-10.778039270934446,-0.08622431416747557,0.027112171710455536,24
New Jersey Devils,4068.0,1484.2226292906366,4094.0,4365.306868674068,-271.3068686740685,-0.0666929372355134,-55.497187303890364,-0.013642376426718379,1938.8053174540037,1755.0,271.0,17.31448722395444,0.06389109676735956,-0.019176106012073944,48
New York Americans,802.0,1451.1708260131695,689.0,798.3396142011577,-109.33961420115781,-0.1363336835425908,-52.1560225590058,-0.06503244708105461,346.6650379566998,261.0,18.0,-0.11287772058148138,-0.006270984476748965,-0.06638156229390857,17
New York Islanders,4271.0,1501.536137395776,4484.0,4745.585618416541,-261.58561841654137,-0.061246925407759625,-20.151892570494404,-0.004718307789860549,2125.655385865734,1941.0,319.0,41.57187750358213,0.130319365214991,-0.015618362872995076,50
New York Rangers,7269.0,1505.501882390455,7587.0,8138.284214963974,-551.2842149639735,-0.0758404477870372,-23.209778478981555,-0.0031929809435935555,3650.10095103846,3239.0,545.0,32.80861948599045,0.06019930180915679,-0.00833111213042415,96
Oakland Seals,869.0,1397.5097596024584,607.0,800.0047118987673,-193.00471189876725,-0.22209978354288523,-98.64947964801516,-0.11352069004374586,340.7078955744958,232.0,11.0,-3.763576327415923,-0.34214330249235664,-0.11058963090978931,11
Ottawa Senators,3077.0,1487.0099833937472,3187.0,3370.85694361858,-183.8569436185798,-0.05975201287571654,-72.65845553985852,-0.023613407715261138,1504.9570233485342,1380.0,176.0,-10.943244109429147,-0.06217752334902924,-0.02127377160649065,46
Philadelphia Flyers,4784.0,1523.2445209337534,5472.0,5634.469978007172,-162.46997800717207,-0.03396111580417476,128.39972946755606,0.026839408333519242,2559.999778600025,2366.0,449.0,9.811455694342165,0.0218517944194703,0.027356003177211964,55
Philadelphia Quakers,44.0,1343.4969509264122,15.0,32.42290667888552,-17.422906678885514,-0.3959751517928526,-14.236860646619414,-0.32356501469589577,12.86420275020061,4.0,0.0,0.0,,-0.32356501469589577,1
Pittsburgh Penguins,4733.0,1499.2504569346327,5026.0,5299.2235738107975,-273.2235738107976,-0.05772735554844656,5.3913045364987795,0.0011390882181489075,2378.1163281448585,2201.0,397.0,29.892781153859207,0.07529667796941866,-0.005650709551974274,55
Pittsburgh Pirates,216.0,1418.205492308038,172.0,217.85234794664984,-45.85234794664983,-0.21227938864189735,-30.91042772870742,-0.14310383207734917,94.99363444918674,68.0,4.0,-0.5090545123181944,-0.1272636280795486,-0.14340270385089257,5
Quebec Athletic Club/Bulldogs,150.0,1416.7860622263788,113.0,144.67262251196848,-31.67262251196849,-0.2111508167464566,-21.279377966165484,-0.14186251977443656,62.32840926778264,51.0,0.0,0.0,,-0.14186251977443656,6
San Jose Sharks,2679.0,1496.577838378639,2838.0,2932.659973571795,-94.65997357179482,-0.035334070015600905,-14.924945953159124,-0.005571088448361002,1308.5781351561345,1243.0,241.0,9.176523381314322,0.038076860503378926,-0.009885754444000592,31
Seattle Kraken,178.0,1474.3997705844617,174.0,180.62237713764205,-6.622377137642042,-0.037204365941809224,-6.076765704612779,-0.0341391331719819,78.87440123678533,80.0,14.0,1.4779532679280765,0.10556809056629117,-0.04606535958866375,2
St. Louis Blues,4753.0,1499.28857831867,5093.0,5346.48970928499,-253.48970928498952,-0.05333257085735105,34.085761553298525,0.007171420482494956,2401.1933979132514,2203.0,416.0,-19.90479888285035,-0.04784807423762104,0.012448826478245073,55
St. Louis Eagles,48.0,1372.3737381225358,31.0,37.26798394007044,-6.267983940070437,-0.13058299875146742,-2.7149442946857922,-0.056561339472620674,15.032895718771165,11.0,0.0,0.0,,-0.056561339472620674,1
Tampa Bay Lightning,2572.0,1491.9155009630724,2725.0,2798.317465535538,-73.3174655355378,-0.028506013038700546,-3.790098721887315,-0.0014735998141085984,1246.5880271580454,1205.0,214.0,24.308014989604207,0.11358885509160845,-0.01191607875805408,30
Toronto Maple Leafs,7521.0,1500.0664014143088,7853.0,8416.081513562844,-563.0815135628442,-0.07486790500769103,-7.840027035738274,-0.001042418167230192,3774.1415900824163,3373.0,571.0,45.61986613689225,0.07989468675462741,-0.007692070960090724,105
Vancouver Canucks,4355.0,1482.9679609194386,4311.0,4668.581825931695,-357.5818259316952,-0.08210834120130775,-108.94802533622362,-0.025016768159867652,2070.9333776240296,1838.0,246.0,3.752162287931071,0.015252692227362079,-0.02742764361746281,52
Vegas Golden Knights,543.0,1543.0414893633006,694.0,654.058069932024,39.941930067976074,0.07355788226146606,41.951816473944696,0.0772593305229184,298.44317256505195,321.0,88.0,15.695637887848541,0.17835952145282433,0.05770588700240914,6
Washington Capitals,4098.0,1502.2501933817257,4400.0,4591.908436806649,-191.90843680664864,-0.046829779601427195,22.422491627312475,0.005471569455176299,2061.5753681777496,1919.0,301.0,-10.113538357110514,-0.03359979520634722,0.008568878057525148,48
Winnipeg Jets,1863.0,1472.6180243742938,1868.0,1946.210615270139,-78.21061527013916,-0.04198100658622606,-53.97972416901643,-0.02897462381589717,857.1858600175951,826.0,48.0,-15.476997146650998,-0.3224374405552291,-0.021213623703782616,23
