season,date,playoff,neutral,team,abbr,pregame_elo,win_prob,actual_points,expected_points,eva,eva_plus,win_flag,is_home
1918,1917-12-19,0,0,Ottawa Senators,OTS,1380.0,0.571463117408381,0.0,1.24356902117134,-1.24356902117134,-1.1525718950573922,0,1
1918,1917-12-19,0,0,Montreal Wanderers,MTW,1380.0,0.571463117408381,2.0,1.24356902117134,0.7564309788286601,0.8474281049426079,1,1
1918,1917-12-21,0,0,Montreal Wanderers,MTW,1382.02004940107,0.566677751056133,0.0,1.23538163426626,-1.23538163426626,-1.1443845081523123,0,1
1918,1917-12-21,0,0,Toronto Maple Leafs,TOR,1377.97995059893,0.57623515607664,2.0,1.25173905381468,0.74826094618532,0.8392580722992679,1,1
1918,1917-12-26,0,0,Toronto Maple Leafs,TOR,1383.19831848824,0.557137190011417,2.0,1.21907496987759,0.78092503012241,0.8719221562363578,1,1
1918,1917-12-26,0,0,Montreal Wanderers,MTW,1374.10888627334,0.578127878606185,0.0,1.25498101319427,-1.25498101319427,-1.1639838870803223,0,1
1918,1917-12-29,0,0,Ottawa Senators,OTS,1374.85772108834,0.580229146118025,2.0,1.2585811726347,0.7414188273653,0.8324159534792478,1,1
1918,1917-12-29,0,0,Montreal Canadiens,MTL,1390.01551210083,0.576406119860597,2.0,1.25203185511612,0.74796814488388,0.8389652709978278,1,1
1918,1918-01-02,0,0,Montreal Canadiens,MTL,1395.23147306969,0.615552002795753,2.0,1.31925449809428,0.68074550190572,0.7717426280196679,1,1
1918,1918-01-02,0,0,Ottawa Senators,OTS,1380.01992356334,0.569674578717418,0.0,1.2405083291975,-1.2405083291975,-1.1495112030835524,0,1
1918,1918-01-05,0,0,Toronto Maple Leafs,TOR,1384.10581779121,0.60275150420493,2.0,1.29723417138912,0.70276582861088,0.7937629547248278,1,1
1918,1918-01-05,0,0,Montreal Canadiens,MTL,1397.01668656358,0.599140490728082,2.0,1.29102901925653,0.7089709807434701,0.7999681068574179,1,1
1918,1918-01-09,0,0,Toronto Maple Leafs,TOR,1385.95858936812,0.553146472111651,2.0,1.21226063923511,0.7877393607648899,0.8787364868788378,1,1
1918,1918-01-12,0,0,Montreal Canadiens,MTL,1395.54870196214,0.599698817781973,2.0,1.29198825053004,0.70801174946996,0.7990088755839079,1,1
1918,1918-01-14,0,0,Ottawa Senators,OTS,1370.962299169,0.545442137607182,2.0,1.19911624803135,0.80088375196865,0.8918808780825979,1,1
1918,1918-01-16,0,0,Toronto Maple Leafs,TOR,1385.16406063879,0.585592734725232,2.0,1.26777547201939,0.7322245279806101,0.8232216540945579,1,1
1918,1918-01-19,0,0,Montreal Canadiens,MTL,1399.91657676619,0.589416601280787,2.0,1.27433448597963,0.72566551402037,0.8166626401343179,1,1
1918,1918-01-21,0,0,Ottawa Senators,OTS,1373.1526082244,0.527454951588891,0.0,1.16848623221307,-1.16848623221307,-1.0774891060991223,0,1
1918,1918-01-23,0,0,Montreal Canadiens,MTL,1408.10711729311,0.625359324665675,0.0,1.33615084542963,-1.33615084542963,-1.2451537193156823,0,1
1918,1918-01-26,0,0,Ottawa Senators,OTS,1372.25803164543,0.556301651688778,2.0,1.2176479275619,0.7823520724380999,0.8733491985520477,1,1
1918,1918-01-28,0,0,Toronto Maple Leafs,TOR,1378.94808450741,0.534480740004882,2.0,1.18044053094692,0.8195594690530801,0.9105565951670279,1,1
1918,1918-01-30,0,0,Ottawa Senators,OTS,1376.27896384398,0.537503944376011,0.0,1.18558835381291,-1.18558835381291,-1.0945912276989622,0,1
1918,1918-02-02,0,0,Montreal Canadiens,MTL,1405.19794122771,0.601425663403365,2.0,1.29495550355405,0.7050444964459499,0.7960416225598977,1,1
1918,1918-02-04,0,0,Toronto Maple Leafs,TOR,1378.47425974517,0.581614895088203,2.0,1.26095598461254,0.73904401538746,0.8300411415014078,1,1
1918,1918-02-06,0,0,Ottawa Senators,OTS,1366.35949047986,0.508499918476352,2.0,1.13629850529601,0.86370149470399,0.9546986208179379,1,1
1918,1918-02-09,0,0,Montreal Canadiens,MTL,1405.92612438181,0.602931227231057,0.0,1.29754308496021,-1.29754308496021,-1.2065459588462624,0,1
1918,1918-02-11,0,0,Toronto Maple Leafs,TOR,1389.85966880499,0.597977411852771,2.0,1.28903102735252,0.7109689726474799,0.8019660987614278,1,1
1918,1918-02-13,0,0,Ottawa Senators,OTS,1367.92635414867,0.536069257965328,0.0,1.18314512318024,-1.18314512318024,-1.0921479970662922,0,1
1918,1918-02-16,0,0,Montreal Canadiens,MTL,1399.43176235811,0.623502011439557,2.0,1.33294935076565,0.66705064923435,0.7580477753482978,1,1
1918,1918-02-18,0,0,Toronto Maple Leafs,TOR,1398.94392506954,0.564645870472774,0.0,1.2319069102336,-1.2319069102336,-1.1409097841196523,0,1
1918,1918-02-20,0,0,Montreal Canadiens,MTL,1411.64767784955,0.600199475421699,2.0,1.29284846411405,0.7071515358859499,0.7981486619998978,1,1
1918,1918-02-23,0,0,Toronto Maple Leafs,TOR,1389.20047650323,0.61550664242554,2.0,1.31917640026083,0.6808235997391701,0.7718207258531179,1,1
1918,1918-02-25,0,0,Ottawa Senators,OTS,1353.0197613334,0.484902198689638,2.0,1.09440469137824,0.9055953086217601,0.9965924347357079,1,1
1918,1918-02-27,0,1,Montreal Canadiens,MTL,1406.69487830667,0.567025370688726,0.0,1.23597619908271,-1.23597619908271,-1.1449790729687623,0,1
1918,1918-03-02,0,0,Toronto Maple Leafs,TOR,1393.64363059729,0.559248510283698,2.0,1.22268172019024,0.77731827980976,0.8683154059237078,1,1
1918,1918-03-06,0,0,Ottawa Senators,OTS,1364.25452799037,0.524909687400978,2.0,1.1641586271869,0.8358413728131,0.9268384989270478,1,1
1918,1918-03-11,1,0,Toronto Maple Leafs,TOR,1391.27002101156,0.575473102065955,2.0,1.25043400558977,0.74956599441023,0.8405631205241778,1,1
1918,1918-03-13,1,0,Montreal Canadiens,MTL,1394.69167221786,0.587456038155254,2.0,1.27097113837904,0.7290288616209599,0.8200259877349078,1,1
1919,1918-12-21,0,0,Montreal Canadiens,MTL,1429.13808248013,0.597594555503195,0.0,1.28837340680573,-1.28837340680573,-1.2179106386112954,0,1
1919,1918-12-23,0,0,Toronto Maple Leafs,TOR,1427.0451079245,0.576555397590344,0.0,1.25228752144371,-1.25228752144371,-1.1818247532492754,0,1
1919,1918-12-26,0,0,Ottawa Senators,OTS,1416.15171977834,0.560101150795042,2.0,1.22413858658916,0.7758614134108399,0.8463241816052745,1,1
1919,1918-12-28,0,0,Montreal Canadiens,MTL,1426.28617535612,0.58001378378043,2.0,1.25821213845876,0.7417878615412401,0.8122506297356746,1,1
1919,1918-12-31,0,0,Toronto Maple Leafs,TOR,1416.42916548324,0.566233818623489,2.0,1.23462237937586,0.76537762062414,0.8358403888185746,1,1
1919,1919-01-02,0,0,Ottawa Senators,OTS,1416.90530160785,0.552824094521165,2.0,1.21171033565335,0.7882896643466499,0.8587524325410845,1,1
1919,1919-01-04,0,0,Montreal Canadiens,MTL,1425.10449143812,0.576026930840931,2.0,1.25138244601545,0.7486175539845501,0.8190803221789846,1,1
1919,1919-01-07,0,0,Toronto Maple Leafs,TOR,1419.6569833215,0.558356374745283,0.0,1.22115756004696,-1.22115756004696,-1.1506947918525254,0,1
1919,1919-01-09,0,0,Ottawa Senators,OTS,1418.0459976892,0.573069250709945,2.0,1.24631821767002,0.75368178232998,0.8241445505244145,1,1
1919,1919-01-11,0,0,Montreal Canadiens,MTL,1431.67203206893,0.596539857537844,2.0,1.28656195951713,0.71343804048287,0.7839008086773045,1,1
1919,1919-01-14,0,0,Toronto Maple Leafs,TOR,1408.40858220467,0.553321438845109,2.0,1.21255932088647,0.78744067911353,0.8579034473079645,1,1
1919,1919-01-16,0,0,Ottawa Senators,OTS,1417.16362162319,0.543300276765686,0.0,1.19546463263797,-1.19546463263797,-1.1250018644435356,0,1
1919,1919-01-18,0,0,Montreal Canadiens,MTL,1442.72917180105,0.614903246572213,2.0,1.31813756612744,0.6818624338725601,0.7523252020669946,1,1
1919,1919-01-21,0,0,Toronto Maple Leafs,TOR,1412.46058715271,0.524320301572729,2.0,1.1631567585986,0.8368432414014,0.9073060095958345,1,1
1919,1919-01-23,0,0,Ottawa Senators,OTS,1408.61580787541,0.55722848822972,2.0,1.21923091133427,0.7807690886657299,0.8512318568601644,1,1
1919,1919-01-25,0,0,Montreal Canadiens,MTL,1439.33400001637,0.611252202263133,0.0,1.3118535189305,-1.3118535189305,-1.2413907507360655,0,1
1919,1919-01-28,0,0,Toronto Maple Leafs,TOR,1416.57715726026,0.57539842423013,1.0,1.25030612420215,-0.25030612420215004,-0.17984335600771545,0,1
1919,1919-01-30,0,0,Ottawa Senators,OTS,1416.63426194203,0.543594381025871,2.0,1.19596597715284,0.8040340228471601,0.8744967910415946,1,1
1919,1919-02-01,0,0,Montreal Canadiens,MTL,1434.09295272285,0.599904977545204,2.0,1.29234246051163,0.70765753948837,0.7781203076828045,1,1
1919,1919-02-04,0,0,Toronto Maple Leafs,TOR,1408.28431248292,0.526957894296623,2.0,1.16764097514604,0.8323590248539601,0.9028217930483946,1,1
1919,1919-02-06,0,0,Ottawa Senators,OTS,1418.80598061115,0.580169346753936,2.0,1.25847870232523,0.74152129767477,0.8119840658692046,1,1
1919,1919-02-08,0,0,Montreal Canadiens,MTL,1435.20445180524,0.590086011210557,2.0,1.2754830644617,0.7245169355383001,0.7949797037327346,1,1
1919,1919-02-11,0,0,Toronto Maple Leafs,TOR,1409.50428758813,0.5321625389351,2.0,1.17649474148942,0.82350525851058,0.8939680267050145,1,1
1919,1919-02-13,0,0,Ottawa Senators,OTS,1419.99530628397,0.552181989812467,2.0,1.21061432912087,0.78938567087913,0.8598484390735646,1,1
1919,1919-02-15,0,0,Montreal Canadiens,MTL,1428.04354116373,0.592490861937542,2.0,1.27961018494406,0.72038981505594,0.7908525832503746,1,1
1919,1919-02-18,0,0,Toronto Maple Leafs,TOR,1408.27947091091,0.546955813169787,1.0,1.2016975731039,-0.2016975731038999,-0.13123480490946532,0,1
1919,1919-02-20,0,0,Ottawa Senators,OTS,1428.2387841708,0.603044891002708,2.0,1.29773845763551,0.70226154236449,0.7727243105589245,1,1
1919,1919-02-22,1,0,Montreal Canadiens,MTL,1432.78988954972,0.588889873353319,2.0,1.27343079572133,0.72656920427867,0.7970319724731045,1,1
1919,1919-02-27,1,0,Ottawa Senators,OTS,1428.70037747179,0.574570915376196,0.0,1.24888915281381,-1.24888915281381,-1.1784263846193754,0,1
1919,1919-03-01,1,0,Montreal Canadiens,MTL,1441.4215203928,0.61859694544504,2.0,1.32449809799174,0.67550190200826,0.7459646702026945,1,1
1919,1919-03-03,1,0,Ottawa Senators,OTS,1420.83000648212,0.546679050881177,2.0,1.20122555786576,0.79877444213424,0.8692372103286745,1,1
1919,1919-03-06,1,0,Montreal Canadiens,MTL,1440.68401375427,0.616089702008648,2.0,1.32018030074754,0.6798196992524601,0.7502824674468946,1,1
1920,1919-12-23,0,0,Ottawa Senators,OTS,1446.9998989868,0.592199104787353,2.0,1.27910940993161,0.72089059006839,0.7945476597875683,1,1
1920,1919-12-24,0,0,Quebec Athletic Club/Bulldogs,HAM,1380.0,0.454156644541989,0.0,1.03825334719941,-1.03825334719941,-0.9645962774802317,0,1
1920,1919-12-27,0,0,Toronto Maple Leafs,TOR,1428.54104598989,0.645604413312022,2.0,1.37109765429567,0.6289023457043299,0.7025594154235082,1,1
1920,1919-12-27,0,0,Ottawa Senators,OTS,1450.65092329308,0.547428032131529,2.0,1.2025029816592,0.7974970183407999,0.8711540880599782,1,1
1920,1919-12-31,0,0,Toronto Maple Leafs,TOR,1431.65592728919,0.525091361598297,2.0,1.16446746457214,0.83553253542786,0.9091896051470383,1,1
1920,1920-01-01,0,0,Quebec Athletic Club/Bulldogs,HAM,1371.23489045693,0.452929325688287,0.0,1.0360070522509,-1.0360070522509,-0.9623499825317217,0,1
1920,1920-01-03,0,0,Toronto Maple Leafs,TOR,1436.54860853424,0.543574775872144,2.0,1.19593255657506,0.80406744342494,0.8777245131441183,1,1
1920,1920-01-07,0,0,Ottawa Senators,OTS,1454.02091905983,0.563986621535383,2.0,1.23077974099363,0.7692202590063699,0.8428773287255482,1,1
1920,1920-01-07,0,0,Quebec Athletic Club/Bulldogs,HAM,1369.08223330156,0.4717684153301,2.0,1.07044616029065,0.9295538397093499,1.0032109094285282,1,1
1920,1920-01-10,0,0,Ottawa Senators,OTS,1456.08140420093,0.682496484262817,2.0,1.43501217466598,0.5649878253340199,0.6386448950531982,1,1
1920,1920-01-10,0,0,Montreal Canadiens,MTL,1457.25283915705,0.60297257811379,2.0,1.29761416120132,0.7023858387986801,0.7760429085178584,1,1
1920,1920-01-12,0,0,Montreal Canadiens,MTL,1462.09772759159,0.694348078181763,2.0,1.45560765530596,0.54439234469404,0.6180494144132183,1,1
1920,1920-01-14,0,0,Toronto Maple Leafs,TOR,1429.81712745405,0.521214382096157,0.0,1.15787864791478,-1.15787864791478,-1.0842215781956017,0,1
1920,1920-01-14,0,0,Quebec Athletic Club/Bulldogs,HAM,1366.58840276937,0.438324393612047,0.0,1.00924713080948,-1.00924713080948,-0.9355900610903016,0,1
1920,1920-01-17,0,0,Toronto Maple Leafs,TOR,1427.28204708768,0.656815985395665,2.0,1.39048991084049,0.60951008915951,0.6831671588786883,1,1
1920,1920-01-17,0,0,Montreal Canadiens,MTL,1467.60208998309,0.579710004453011,2.0,1.25769161594011,0.7423083840598901,0.8159654537790684,1,1
1920,1920-01-21,0,0,Ottawa Senators,OTS,1459.76173522379,0.702083071209094,2.0,1.46906582179435,0.53093417820565,0.6045912479248283,1,1
1920,1920-01-21,0,0,Montreal Canadiens,MTL,1469.57774752796,0.62484513816825,2.0,1.33526445260685,0.66473554739315,0.7383926171123283,1,1
1920,1920-01-24,0,0,Toronto Maple Leafs,TOR,1429.2165440069,0.522208132209435,2.0,1.15956712501327,0.84043287498673,0.9140899447059083,1,1
1920,1920-01-24,0,0,Quebec Athletic Club/Bulldogs,HAM,1356.83154961599,0.40825299576956,0.0,0.953972124653359,-0.953972124653359,-0.8803150549341807,0,1
1920,1920-01-28,0,0,Ottawa Senators,OTS,1460.16605168178,0.609499859546689,2.0,1.30883852368024,0.69116147631976,0.7648185460389383,1,1
1920,1920-01-28,0,0,Montreal Canadiens,MTL,1475.42664126333,0.729913614107512,2.0,1.51759593049855,0.48240406950145,0.5560611392206283,1,1
1920,1920-01-31,0,0,Quebec Athletic Club/Bulldogs,HAM,1351.51627754321,0.461859653246468,2.0,1.05234317484918,0.94765682515082,1.0213138948699982,1,1
1920,1920-01-31,0,0,Ottawa Senators,OTS,1464.9206480083,0.554883363913394,2.0,1.21522598027607,0.7847740197239299,0.8584310894431082,1,1
